"vesselID_randomized","year","cpue_pred","year.SZ","diesel_volume","diesel_usd","days","fishers","simpson.div","richness","beta.bray","fishing.area.km2","median.latitude","median.longitude","boatsize","boatpower","income","income_perday","income_perkg","revenue_per_fisher_perday","revenue_per_fisher_perday_perkg","cpue_obs","cpue_base","cpue_diff"
4,"2013",232.496651596916,"2013.45",0.213555420646102,225.821167883212,1.66666666666667,4.72093023255814,0.526764707758838,4,0.78878678918631,2053.44,-5.05555555555556,55.5833333333333,11,37,7072.16342230407,4962.04751020962,22.5345405502038,100.050037501669,2.71342657122365,264.533333333333,367.355345009268,-134.858693412351
4,"2014",228.297616913764,"2014.45",0.325924136530533,332.136365834638,1.66666666666667,4.39393939393939,0.214060158004468,2.16666666666667,0.746988793238492,NA,NA,NA,11,37,9388.82801662121,5479.63869760273,20.723727948263,333.54727820359,2.71382087026835,249.288611111111,367.355345009268,-139.057728095503
4,"2015",207.82832190628,"2015.45",0.214356837765264,142.338830407861,1.57142857142857,4.61290322580645,0.449143746359076,2.71428571428571,0.801362354573909,1711.2,-5.08333333333333,55.4833333333333,11,37,4770.13517630794,3388.95493555507,27.2216573483908,126.884501873425,0.665255741574781,143.794285714286,367.355345009268,-159.527023102988
4,"2016",203.261928350903,"2016.45",0.213931980460409,116.147237724964,1.5,4.14705882352941,0.364137975254202,4,0.703297110855617,NA,NA,NA,11,37,6441.258324941,4848.11187073537,17.5329244516821,114.724533789027,1.1827271524642,269.63,367.355345009268,-164.093416658364
67,"2005",60.8828455353167,"2005.451",0.0987767681219082,54.5,NA,NA,NA,NA,NA,NA,NA,NA,7,25,NA,NA,NA,NA,NA,NA,60.7219713020349,0.160874233281852
67,"2006",67.5539876781039,"2006.451",0.0938548910349837,59.3825008037939,2.91666666666667,3.63333333333333,0.216342432313369,2.5,0.850214091792872,4106.88,-4.30555555555556,55.8055555555556,7,25,5673.62496606881,2031.10784535171,24.5678584648403,406.2444869098,2.98709181551323,80.9202777777778,60.7219713020349,6.83201637606899
67,"2007",75.2378368908971,"2007.451",0.0741695500622555,49.7330774030409,2.57894736842105,NA,0.159799623761827,2.63157894736842,0.821917102514475,4106.88,-4.80555555555556,55.8333333333333,7,25,7699.21327161648,3181.83017925773,24.0653603498552,528.479034140213,6.69235855080612,128.612807017544,60.7219713020349,14.5158655888622
67,"2008",70.0529176153845,"2008.451",0.0698104903694367,74.6906455832575,3.11764705882353,3.13333333333333,0.165712465701085,2.29411764705882,0.873525433708989,NA,NA,NA,7,25,5240.36037147809,1850.09044890111,23.6255024732412,605.341747222995,1.96257628829005,81.9911764705882,60.7219713020349,9.33094631334966
67,"2009",56.989179859444,"2009.451",NA,NA,3.33333333333333,NA,0.291819457129314,2.66666666666667,0.628269617706237,2395.68,-4.44047619047619,55.5833333333333,7,25,5759.38162235344,1799.10007654278,22.2032183657111,384.070759880907,1.52409031698773,79.5833333333333,60.7219713020349,-3.73279144259091
67,"2010",41.7397653084187,"2010.451",0.110119661789816,90.298122667649,2.64285714285714,3.28571428571429,0.0113017368891881,1.07142857142857,0.769257986251516,NA,NA,NA,7,25,4712.81597540542,2007.04158296524,30.08262482126,316.369188738923,1.31230336423504,66.6428571428571,60.7219713020349,-18.9822059936162
