"vesselID_randomized","DATE.ym","year","dmi","benso","month","cpue"
476,1990-01-01,1990,0.076,0.15,1,688.515
476,1990-02-01,1990,-0.108,1.12,2,462.048333333333
476,1990-04-01,1990,-0.189,0.32,4,209.25
476,1990-05-01,1990,-0.133,-0.29,5,240.479285714286
476,1990-06-01,1990,-0.358,0.12,6,147.8
476,1990-07-01,1990,0.059,0.03,7,207.4525
476,1990-08-01,1990,-0.092,0.47,8,171.283333333333
476,1990-09-01,1990,0.207,0.55,9,366.422222222222
476,1990-10-01,1990,0.038,0.17,10,217.9375
476,1990-12-01,1990,0.231,0.4,12,299.425555555556
476,1991-01-01,1991,0.24,0.12,1,525.793333333333
476,1991-02-01,1991,0.077,0.23,2,667.668333333333
476,1991-03-01,1991,0.123,0.64,3,321.498333333333
476,1991-04-01,1991,0.476,0.86,4,1157.73
476,1991-06-01,1991,0.463,0.94,6,163.383333333333
476,1991-07-01,1991,0.568,0.71,7,454.59
476,1991-08-01,1991,0.346,0.82,8,463.081666666667
476,1991-09-01,1991,0.48,1.02,9,298.236666666667
476,1992-10-01,1992,-0.245,0.75,10,507.783333333333
476,1992-11-01,1992,-0.126,0.36,11,1475.1
476,1993-02-01,1993,0.211,0.74,2,855.852222222222
476,1993-03-01,1993,-0.136,0.81,3,969.407777777778
476,1993-04-01,1993,0.009,1.71,4,663.873333333333
476,1993-06-01,1993,0.1,1.39,6,645.1
476,1993-07-01,1993,0.152,0.94,7,594.32
476,1993-09-01,1993,0.215,0.65,9,520.733333333333
476,1993-10-01,1993,0.22,0.96,10,440.276666666667
476,1993-11-01,1993,0.116,0.24,11,667.633333333333
476,1993-12-01,1993,0.019,0.12,12,528.133333333333
476,1994-02-01,1994,0.037,-0.07,2,721.89
476,1994-03-01,1994,0.357,0.52,3,618.408333333333
476,1994-04-01,1994,0.533,1.1,4,343.38
476,1994-05-01,1994,0.748,0.89,5,578.166666666667
476,1994-08-01,1994,1.093,1.33,8,62.0333333333333
476,1994-11-01,1994,0.555,1.02,11,241.529166666667
476,1994-12-01,1994,0.49,1.33,12,691.238333333333
476,1995-03-01,1995,0.113,0.44,3,423.332222222222
476,1995-05-01,1995,-0.035,0.63,5,539.858333333333
476,1995-07-01,1995,0.141,0,7,415.116666666667
476,1995-08-01,1995,0.157,-0.2,8,223.01
476,1995-09-01,1995,0.213,-0.42,9,266.285
476,1995-10-01,1995,0.02,-0.26,10,329.6
476,1995-11-01,1995,-0.018,-0.38,11,376.455
476,1995-12-01,1995,0.32,0.01,12,1122.125
476,1996-01-01,1996,0.16,-0.66,1,321.55
476,1996-02-01,1996,0.155,-0.39,2,302.835555555556
476,1996-04-01,1996,-0.166,-0.53,4,929.854444444444
476,1996-07-01,1996,-0.33,-0.26,7,459.123333333333
476,1997-05-01,1997,0.243,2.1,5,314.233333333333
476,1997-08-01,1997,0.93,2.48,8,233.266666666667
476,1997-09-01,1997,1.152,2.27,9,392.616666666667
476,1997-10-01,1997,1.249,2.15,10,255.466666666667
476,1997-11-01,1997,1.537,1.92,11,152.925
476,1997-12-01,1997,1.087,1.74,12,358.5
476,1998-02-01,1998,0.605,2.61,2,324.325
476,1998-04-01,1998,0.249,1.55,4,309.683333333333
476,1998-08-01,1998,-0.263,-1.44,8,101.666666666667
476,1998-10-01,1998,-0.346,-1.28,10,301.050555555556
476,1998-11-01,1998,-0.372,-1.28,11,173.511666666667
476,1998-12-01,1998,-0.101,-1.52,12,177.53
476,1999-01-01,1999,0.062,-1.7,1,237.386666666667
476,1999-03-01,1999,0.276,-1.04,3,734.95
476,1999-04-01,1999,0.195,-1.22,4,470.376666666667
476,1999-06-01,1999,0.073,-0.82,6,296.166666666667
476,1999-09-01,1999,0.341,-0.54,9,218.106666666667
476,1999-10-01,1999,0.192,-1.03,10,416.566666666667
476,2000-01-01,2000,0.062,-1.26,1,275
476,2000-03-01,2000,0.31,-1.2,3,587.036333333333
476,2000-04-01,2000,0.345,-1.01,4,222.3
476,2000-05-01,2000,0.332,-0.58,5,172.183333333333
476,2000-07-01,2000,0.392,-0.07,7,262.542222222222
476,2000-08-01,2000,0.436,-0.44,8,365.576666666667
476,2000-12-01,2000,-0.014,-0.78,12,154.833333333333
476,2001-01-01,2001,-0.245,-0.87,1,216.316666666667
476,2001-02-01,2001,0.165,-1.15,2,210.065757575758
476,2001-03-01,2001,0.15,-0.46,3,393
476,2001-04-01,2001,0.334,-0.09,4,413.029166666667
476,2001-06-01,2001,0.337,0.13,6,352.803333333333
476,2001-08-01,2001,0.001,0.51,8,303.895
476,2001-09-01,2001,0.165,-0.08,9,351
476,2001-11-01,2001,0.03,-0.4,11,999.119166666667
476,2002-01-01,2002,0.04,-0.15,1,204.5
476,2002-02-01,2002,0.089,-0.33,2,800.4775
476,2002-03-01,2002,0.173,0.44,3,198.333333333333
476,2002-04-01,2002,-0.156,0.4,4,1382.35
476,2002-06-01,2002,0.022,0.99,6,239.933333333333
476,2002-11-01,2002,0.362,1.2,11,664.048333333333
476,2003-10-01,2003,0.139,0.44,10,520.333333333333
476,2003-11-01,2003,0.108,0.46,11,165.333333333333
476,2004-04-01,2004,0.116,0.65,4,235.946666666667
476,2004-05-01,2004,-0.345,-0.12,5,146.793333333333
476,2004-07-01,2004,0.009,0.89,7,192
476,2005-01-01,2005,0.054,0.2,1,209.776666666667
476,2005-05-01,2005,0.183,1.08,5,153.535
476,2014-06-01,2014,0.182,0.37,6,108
177,2003-07-01,2003,0.438,0.23,7,435.85
177,2004-04-01,2004,0.116,0.65,4,26
177,2004-11-01,2004,0.108,0.85,11,94.25
177,2006-01-01,2006,0.055,-1.22,1,167.66
177,2006-02-01,2006,-0.117,-0.31,2,309.7
177,2006-03-01,2006,-0.06,-1,3,292.38
177,2006-04-01,2006,0.181,-0.39,4,207.7
177,2006-05-01,2006,0.005,0.63,5,322.133333333333
177,2008-03-01,2008,0.269,-1.24,3,24.36
177,2008-05-01,2008,0.397,-0.27,5,90.896
177,2010-10-01,2010,-0.053,-2.35,10,77.1666666666667
177,2010-11-01,2010,-0.213,-1.83,11,96.45
177,2011-02-01,2011,0.421,-3.07,2,48.6666666666667
177,2011-04-01,2011,0.352,-1.69,4,115.472222222222
177,2011-05-01,2011,0.126,-0.53,5,85.8166666666667
177,2011-09-01,2011,0.589,-1.2,9,63.8333333333333
177,2011-10-01,2011,0.737,-1.13,10,44
440,1990-02-01,1990,-0.108,1.12,2,375.688333333333
440,1990-04-01,1990,-0.189,0.32,4,642.287142857143
440,1990-10-01,1990,0.038,0.17,10,123.5
440,2007-05-01,2007,0.485,0.15,5,83.3333333333333
440,2007-06-01,2007,0.242,-0.07,6,26
440,2007-07-01,2007,0.36,0.06,7,10.58
440,2007-08-01,2007,0.536,-0.48,8,9.33333333333333
440,2007-09-01,2007,0.626,-0.63,9,44.6
440,2007-10-01,2007,0.454,-1.14,10,111.955555555556
440,2007-11-01,2007,0.25,-1.23,11,176.333333333333
440,2008-01-01,2008,0.303,-1.75,1,216.666666666667
